Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
84,:,1737406694.000,13.000,0,114,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/84.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/84.cnf,"Final circuit size: 32656 Estimated probability 0.00132029 (epsilon 0.0000000140464839759602) found in 11 seconds ",
92,:,1737406694.000,13.000,0,118,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/92.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/92.cnf,"Final circuit size: 33065 Estimated probability 0.15515058 (epsilon 0.00000000036047098639357955) found in 11 seconds ",
91,:,1737406694.000,15.000,0,116,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/91.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/91.cnf,"Final circuit size: 33046 Estimated probability 0.05629872 (epsilon 0.000000000993403803661863) found in 13 seconds ",
86,:,1737406694.000,15.000,0,116,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/86.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/86.cnf,"Final circuit size: 32976 Estimated probability 0.00259630 (epsilon 0.000000025874175024753754) found in 13 seconds ",
33,:,1737406693.000,16.000,0,116,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/33.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/33.cnf,"Final circuit size: 70628 Estimated probability 0.02033729 (epsilon 0.000000011053399751048687) found in 14 seconds ",
35,:,1737406693.000,17.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/35.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/35.cnf,"Final circuit size: 67789 Estimated probability 0.01192781 (epsilon 0.00000004376454110222028) found in 14 seconds ",
85,:,1737406694.000,17.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/85.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/85.cnf,"Final circuit size: 32989 Estimated probability 0.00166199 (epsilon 0.00000004041965850909435) found in 14 seconds ",
38,:,1737406693.000,18.000,0,114,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/38.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/38.cnf,"Final circuit size: 70668 Estimated probability 0.01430648 (epsilon 0.0000000562037578699659) found in 15 seconds ",
36,:,1737406693.000,19.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/36.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/36.cnf,"Final circuit size: 69354 Estimated probability 0.01255767 (epsilon 0.00000004156944521938044) found in 16 seconds ",
37,:,1737406693.000,20.000,0,114,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/37.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/37.cnf,"Final circuit size: 70005 Estimated probability 0.01350985 (epsilon 0.0000000386396048490667) found in 17 seconds ",
